"Step","Group: hcc - train/episode_length","Group: hcc - train/episode_length__MIN","Group: hcc - train/episode_length__MAX","Group: drqn - train/episode_length","Group: drqn - train/episode_length__MIN","Group: drqn - train/episode_length__MAX"
"2","500","500","500","500","500","500"
"3","500","500","500","500","500","500"
"4","500","500","500","402.4","12","500"
"5","500","500","500","500","500","500"
"6","500","500","500","500","500","500"
"7","500","500","500","402.4","12","500"
"8","389","56","500","405.6","28","500"
"9","500","500","500","214","13","500"
"10","383.25","33","500","409","45","500"
"11","386.75","47","500","500","500","500"
"12","500","500","500","407.6","38","500"
"13","354.25","19","500","405.6","28","500"
"14","389.25","57","500","310.4","13","500"
"15","193.66666666666666","19","500","317.4","23","500"
"16","384.5","38","500","314","31","500"
"17","500","500","500","403.6","18","500"
"18","433","299","500","500","500","500"
"19","390.5","281","500","500","500","500"
"20","377.5","255","500","500","500","500"
"21","500","500","500","378","12","500"
"22","337.6666666666667","13","500","500","500","500"
"23","500","500","500","386.75","47","500"
"24","500","500","500","316.2","37","500"
"25","113","33","261","379.25","17","500"
"26","339.3333333333333","18","500","500","500","500"
"27","500","500","500","405","25","500"
"28","256.25","9","500","500","500","500"
"29","439","256","500","404","20","500"
"30","374.75","15","500","455.8","279","500"
"31","500","500","500","500","500","500"
"32","500","500","500","500","500","500"
"33","465.6666666666667","448","500","337.2","37","500"
"34","383.5","34","500","404.4","22","500"
"35","346.5","145","500","315.2","19","500"
"36","264.5","12","500","404","20","500"
"37","441.3333333333333","324","500","500","500","500"
"38","311.75","86","500","403","15","500"
"39","400.3333333333333","201","500","410.2","51","500"
"40","250.33333333333334","14","395","347.6","30","500"
"41","409.75","139","500","500","500","500"
"42","223","21","500","445.8","229","500"
"43","394","76","500","500","500","500"
"44","327.3333333333333","145","500","293.6","29","500"
"45","364","92","500","500","500","500"
"46","207.75","16","500","378.6666666666667","136","500"
"47","500","500","500","500","500","500"
"48","99.33333333333333","10","224","500","500","500"
"49","277.3333333333333","68","500","500","500","500"
"50","274.5","49","500","500","500","500"
"51","341.6666666666667","25","500","259","21","500"
"52","343.5","187","500","421.6","108","500"
"53","500","500","500","262.4","20","500"
"54","410.25","229","500","500","500","500"
"55","170","33","500","496.2","481","500"
"56","285","87","500","444","220","500"
"57","363","142","500","186.8","80","500"
"58","158.5","15","279","472.4","362","500"
"59","380.5","103","500","353.2","50","500"
"60","250.25","130","500","323.4","52","500"
"61","353.75","241","500","202","24","500"
"62","500","500","500","341.2","84","500"
"63","381.5","26","500","307.4","12","500"
"64","245.66666666666666","10","500","265.4","87","500"
"65","222.75","42","500","444","220","500"
"66","242","26","500","500","500","500"
"67","222.66666666666666","79","500","496.4","482","500"
"68","459.5","338","500","412.4","62","500"
"69","311.5","57","500","208","13","500"
"70","325.75","88","500","369.8","79","500"
"71","347.5","137","500","316.2","29","500"
"72","362.5","145","500","424.5","198","500"
"73","312.5","69","500","329.75","139","500"
"74","270","16","500","379.75","19","500"
"75","167.5","49","500","206.66666666666666","20","500"
"76","443","329","500","171","12","500"
"77","361","83","500","403.4","17","500"
"78","160","60","316","378.25","113","500"
"79","54","19","87","327.75","10","500"
"80","41","36","46","332.2","38","500"
"81","23","23","23","398","92","500"
"82","359.6666666666667","79","500","381","24","500"
"83","291.6666666666667","177","500","349.8","73","500"
"84","201.25","24","500","418.6","93","500"
"85","47.666666666666664","34","56","374","155","500"
"86","26.333333333333332","17","33","414","70","500"
"87","309.25","80","500","267.4","52","500"
"88","201.75","82","497","366.6","45","500"
"89","193","38","462","158.4","51","500"
"90","299.6666666666667","223","450","231","28","500"
"91","145","13","301","449.6","248","500"
"92","110","29","206","433.4","262","500"
"93","101.75","31","220","370.8","179","500"
"94","362.3333333333333","87","500","406.2","31","500"
"95","351.6666666666667","55","500","399.2","24","500"
"96","296","92","500","282.4","38","500"
"97","235","124","319","403.4","17","500"
"98","221.25","92","500","329.6","39","500"
"99","179.33333333333334","25","434","126.8","57","261"
"100","164.75","34","490","329.6","51","500"
"101","243.66666666666666","121","355","343.6","59","500"
"102","91","61","121","320.4","56","500"
"103","244.25","56","424","364","46","500"
"104","356.3333333333333","69","500","383.25","33","500"
"105","243.25","92","490","317","112","500"
"106","236","10","500","224.66666666666666","19","500"
"107","329","102","500","346.4","100","500"
"108","194.5","58","500","408.6","43","500"
"109","220.66666666666666","10","500","309","42","500"
"110","241.25","55","500","357.6","27","500"
"111","332.3333333333333","64","500","323","37","500"
"112","120.33333333333333","17","250","444.5","278","500"
"113","198.25","41","304","500","500","500"
"114","373","254","500","258.8","34","500"
"115","382.25","205","500","403","101","500"
"116","252.5","68","500","213.8","10","500"
"117","117","12","250","500","500","500"
"118","162.5","25","500","239.25","60","500"
"119","65.66666666666667","24","90","353","46","500"
"120","163.75","13","500","402.4","12","500"
"121","105.25","12","251","427.6","159","500"
"122","232","10","500","328.4","39","500"
"123","336.5","184","500","339.6","10","500"
"124","141.5","26","257","404","20","500"
"125","67.66666666666667","17","165","315.4","12","500"
"126","295","27","500","240.6","9","500"
"127","340","20","500","339.2","38","500"
"128","334.75","189","500","465.4","327","500"
"129","36","10","83","415.6","78","500"
"130","229.75","118","500","256","41","500"
"131","348.3333333333333","62","500","210.66666666666666","57","500"
"132","262","29","500","211.66666666666666","43","500"
"133","327","180","500","263.6","24","500"
"134","246.33333333333334","25","500","46","15","81"
"135","414.75","159","500","231","20","500"
"136","500","500","500","259.4","68","500"
"137","358","196","500","415","75","500"
"138","218","65","491","300.2","31","500"
"139","408","317","500","199","11","500"
"140","397.5","90","500","294","28","500"
"141","192","43","500","276","83","500"
"142","153.33333333333334","50","354","232.2","24","500"
"143","208.25","10","500","342.75","185","500"
"144","292.6666666666667","40","500","426.75","207","500"
"145","237","82","500","315","27","500"
"146","417.6666666666667","253","500","292.2","16","500"
"147","273","17","500","196.2","26","500"
"148","201","40","500","118.2","14","500"
"149","448","396","500","332.8","30","500"
"150","354.3333333333333","159","500","500","500","500"
"151","172.25","24","500","343","10","500"
"152","329","20","500","335.8","89","500"
"153","66.5","61","72","500","500","500"
"154","192.5","17","368","344.4","21","500"
"155","166","18","395","278","20","500"
"156","207.75","14","500","302.4","110","500"
"157","131.25","38","223","353.8","107","500"
"158","209.75","88","466","425.2","202","500"
"159","339.75","116","500","241.8","26","500"
"160","174.25","22","480","257.8","17","500"
"161","135.25","26","321","300.25","17","500"
"162","163.25","44","487","173.25","60","500"
"163","286.25","131","500","500","500","500"
"164","317.75","19","500","300.25","87","500"
"165","97.33333333333333","42","179","237.33333333333334","27","500"
"166","391.25","65","500","339.3333333333333","18","500"
"167","315","51","500","405","120","500"
"168","39.5","10","87","329.8","35","500"
"169","286.75","59","500","257.2","44","500"
"170","187.66666666666666","13","500","393.6","144","500"
"171","318","22","500","259.2","46","500"
"172","407","221","500","320.8","19","500"
"173","331.25","158","500","216.2","14","500"
"174","63","32","85","324.8","11","500"
"175","187.25","35","500","324.2","45","500"
"176","307.6666666666667","166","500","401.6","146","500"
"177","113.66666666666667","25","266","443","327","500"
"178","250","21","500","285.25","204","500"
"179","95.66666666666667","18","170","380.2","136","500"
"180","211.25","66","500","394.4","234","500"
"181","92","61","158","320.2","34","500"
"182","146","52","245","349.8","142","500"
"183","197.25","16","500","273.4","36","500"
"184","185.66666666666666","28","500","244.8","35","500"
"185","145.5","20","339","410.8","208","500"
"186","230.33333333333334","31","500","350.4","111","500"
"187","360","246","500","310.4","18","500"
"188","163.5","37","500","408","97","500"
"189","69.33333333333333","20","151","156.4","57","500"
"190","340","20","500","259.8","23","500"
"191","254.25","47","500","500","500","500"
"192","290.6666666666667","13","500","403.4","17","500"
"193","334","62","500","152","12","500"
"194","500","500","500","193","12","500"
"195","40","16","68","160.5","22","500"
"196","190.5","15","500","423.6","276","500"
"197","75.5","24","132","307","16","500"
"198","45.25","17","85","456","345","500"
"199","201","12","500","435.25","241","500"
"200","218.33333333333334","41","500","211.33333333333334","55","394"
"201","208","13","500","160.75","14","500"
"202","31","25","37","396.2","63","500"
"203","204","27","500","251.8","24","500"
"204","182.66666666666666","39","440","263.2","9","500"
"205","212.66666666666666","202","228","194.8","42","500"
"206","221.66666666666666","66","500","210.6","18","500"
"207","136.75","58","274","136.2","15","468"
"208","201.75","31","500","230.4","23","500"
"209","99.5","57","161","418.2","91","500"
"210","219.25","50","500","242.8","11","500"
"211","142.33333333333334","31","346","211","145","368"
"212","212","57","500","291.75","63","500"
"213","221.75","10","500","163.2","28","500"
"214","313.6666666666667","207","407","406.6","33","500"
"215","164.5","27","405","165.6","30","500"
"216","259.75","59","500","369.4","111","500"
"217","371","93","500","348.2","21","500"
"218","171.75","105","272","167.4","25","500"
"219","341","40","500","294.4","115","500"
"220","104.25","42","203","357.2","76","500"
"221","43","34","53","229.4","37","500"
"222","145","13","500","334.8","48","500"
"223","356","68","500","339","35","500"
"224","107.5","79","136","321.6","44","500"
"225","261.3333333333333","59","467","281.6","88","500"
"226","247.33333333333334","28","500","230.8","31","500"
"227","166.75","23","500","169.6","50","500"
"228","71.25","51","91","164.4","17","500"
"229","124.66666666666667","22","203","34.8","16","65"
"230","287.75","54","500","368.2","101","500"
"231","170.25","12","500","341.3333333333333","24","500"
"232","200.25","27","500","265","34","500"
"233","153","24","475","256","60","500"
"234","301.75","90","500","349","147","500"
"235","237.33333333333334","58","500","116.6","55","222"
"236","155","9","500","172.6","40","293"
"237","344.75","70","500","194","11","500"
"238","132.75","32","227","243.2","10","500"
"239","203.66666666666666","34","500","298.2","72","500"
"240","243.33333333333334","33","500","201.2","41","500"
"241","189.25","44","500","232.25","53","500"
"242","175.75","54","500","239.5","47","500"
"243","68.5","50","82","352.6","61","500"
"244","251","52","500","327.25","61","500"
"245","321.25","120","500","244","65","500"
"246","200.33333333333334","156","229","100.2","20","373"
"247","95","33","163","470.6","353","500"
"248","72.25","42","134","390","28","500"
"249","267.75","35","500","278.6","57","500"
"250","334.6666666666667","102","500","415.6","78","500"
"251","208.33333333333334","48","500","413","65","500"
"252","311.75","64","500","327.4","30","500"
"253","223.33333333333334","81","500","272.25","28","500"
"254","251","48","500","386","44","500"
"255","260.3333333333333","45","500","321.6","11","500"
"256","303.5","172","500","449.6","285","500"
"257","161.33333333333334","30","325","361","57","500"
"258","136.33333333333334","71","190","327","47","500"
"259","359.3333333333333","78","500","399.8","93","500"
"260","131.75","45","255","248.8","33","500"
"261","197.66666666666666","37","500","210.2","68","500"
"262","55.333333333333336","45","62","393.4","196","500"
"263","283.6666666666667","64","500","256.4","41","500"
"264","363.5","243","484","186.2","48","340"
"265","297.5","206","389","139.6","77","277"
"266","363.3333333333333","90","500","314.2","60","500"
"267","337.6666666666667","78","500","406","30","500"
"268","324.6666666666667","33","500","168.2","10","500"
"269","367","286","448","84.75","36","118"
"270","189.33333333333334","28","500","174.25","10","500"
"271","223.33333333333334","40","500","257.2","16","500"
"272","36","12","76","210.75","27","500"
"273","162","82","235","272","18","500"
"274","216.33333333333334","41","500","185.6","9","500"
"275","370.3333333333333","111","500","263.4","12","500"
"276","363","89","500","380.25","21","500"
"277","295.25","80","500","246.33333333333334","105","500"
"278","187.33333333333334","22","500","383.5","34","500"
"279","145.75","42","216","304.8","9","500"
"280","305","80","500","346.8","87","500"
"281","252.5","80","500","300.4","57","500"
"282","217","54","500","272","40","500"
"283","293.6666666666667","53","500","247","51","500"
"284","197.66666666666666","39","500","359","13","500"
"285","305.25","138","500","142.6","13","413"
"286","102.25","21","209","313","126","500"
"287","215","65","500","312.8","25","500"
"288","281.3333333333333","50","500","240.6","15","500"
"289","322.25","31","500","343.6","44","500"
"290","89.66666666666667","54","155","274.2","28","500"
"291","156.25","22","500","94.25","36","226"
"292","243.33333333333334","64","500","311.75","60","500"
"293","500","500","500","325.8","53","500"
"294","101","70","158","180.8","73","500"
"295","143.25","12","416","293.2","11","500"
"296","126","24","283","337.4","59","500"
"297","247.75","37","500","337.6","110","500"
"298","379.25","39","500","182.6","41","500"
"299","180.33333333333334","19","500","220.6","33","500"
"300","80.5","18","120","449.2","342","500"
"301","110","16","232","196.8","27","500"
"302","170.25","21","498","276.2","59","500"
"303","206","34","500","170.25","131","233"
"304","267.75","41","500","338.25","138","500"
"305","47.75","18","111","349.2","27","500"
"306","210.66666666666666","50","500","201.2","28","500"
"307","26","11","47","164.4","14","500"
"308","212.25","32","500","150.2","16","500"
"309","303.3333333333333","163","457","247.4","92","500"
"310","241","51","500","244.8","48","500"
"311","195.33333333333334","33","500","212.6","80","500"
"312","156.5","15","378","170.8","9","500"
"313","277.6666666666667","116","500","223.6","109","500"
"314","200.66666666666666","42","500","231.8","12","500"
"315","208","35","500","108.5","10","180"
"316","174","21","256","126","51","191"
"317","220.33333333333334","43","500","415.5","162","500"
"318","297","94","500","248.8","71","500"
"319","178.33333333333334","16","500","106.75","37","182"
"320","184","14","379","384","36","500"
"321","186.5","16","500","407.8","39","500"
"322","34.666666666666664","30","44","287.4","22","500"
"323","314.3333333333333","81","500","188","18","500"
"324","64","16","110","269","54","500"
"325","171","38","500","186.4","58","500"
"326","359.3333333333333","78","500","245.8","25","500"
"327","187.75","41","500","220.4","15","500"
"328","252.66666666666666","81","363","294.8","17","500"
"329","199","23","500","93","18","133"
"330","279.3333333333333","41","500","231.75","19","500"
"331","92.5","15","163","167","23","500"
"332","194.5","30","500","220","27","500"
"333","80.5","21","151","124.8","21","500"
"334","164.75","23","500","244.2","57","500"
"335","348.3333333333333","45","500","111.2","30","228"
"336","200.75","33","398","118.8","16","379"
"337","127.5","125","130","315.8","26","500"
"338","25","22","28","236.6","19","500"
"339","340.5","229","447","373.6","12","500"
"340","224.5","41","500","327.4","59","500"
"341","208.33333333333334","25","500","155.2","25","398"
"342","116.5","13","232","122.2","45","184"
"343","83.75","40","159","401.8","46","500"
"344","282.25","29","500","212.8","31","500"
"345","96.33333333333333","33","142","314.2","148","500"
"346","275.5","35","500","183.2","9","500"
"347","156.75","35","487","169.4","86","297"
"348","158.5","50","318","150.2","34","452"
"349","130","34","287","229.6","44","466"
"350","143.5","50","358","184.4","18","500"
"351","210","110","443","321.4","41","500"
"352","338","73","500","210.2","46","500"
"353","53","31","111","305","56","500"
"354","347.75","71","500","135.4","12","475"
"355","133","66","216","174.75","28","500"
"356","125","26","239","343.25","122","500"
"357","211.5","30","500","237.4","27","500"
"358","89","11","168","313","39","500"
"359","76","64","89","230.6","15","500"
"360","157.75","36","294","230.2","22","500"
"361","230.5","116","500","319.2","159","500"
"362","47.75","15","76","431","293","500"
"363","53.25","34","80","84.33333333333333","47","110"
"364","228.25","63","500","263.4","33","500"
"365","91","36","128","90","21","174"
"366","123.66666666666667","13","188","141.75","9","231"
"367","247.33333333333334","39","500","136.2","15","500"
"368","76.75","29","121","292.8","14","500"
"369","134","55","245","171.8","27","500"
"370","131.33333333333334","69","175","137.6","19","500"
"371","80.5","44","100","141","22","500"
"372","167.5","14","500","228.4","75","500"
"373","94.66666666666667","48","166","182.25","53","500"
"374","131.5","34","409","161.25","10","450"
"375","40","21","92","340.2","52","500"
"376","245.5","14","500","237.4","23","500"
"377","67.5","10","138","192.6","44","500"
"378","227","51","500","256","13","500"
"379","182","67","406","215.4","48","500"
"380","131.33333333333334","74","218","181.4","12","500"
"381","291.25","76","500","239.4","27","500"
"382","147.66666666666666","114","173","148.4","78","244"
"383","240.66666666666666","16","500","166.4","75","312"
"384","209","14","500","301.4","29","500"
"385","139.33333333333334","79","214","212","12","500"
"386","67.66666666666667","54","83","372.4","12","500"
"387","128.66666666666666","56","229","188.4","31","500"
"388","159","51","373","278.6","36","500"
"389","256.5","13","500","255.8","49","500"
"390","87","65","101","186.2","18","500"
"391","340.3333333333333","21","500","268.2","38","500"
"392","132.75","10","286","350.8","117","500"
"393","247.75","55","500","185","58","500"
"394","146.75","39","398","171.4","51","500"
"395","138.5","14","500","316.4","50","500"
"396","174.5","42","500","137.6","24","500"
"397","107.5","48","167","262.2","26","500"
"398","121.33333333333333","35","195","226.75","123","500"
"399","213.75","81","500","274.75","18","500"
"400","40.5","22","56","173.6","16","500"
"401","202.33333333333334","47","500","239.2","44","500"
"402","134","48","217","334.8","66","500"
"403","223.75","13","500","132.8","19","500"
"404","229","49","500","74.25","19","136"
"405","219","101","500","196.75","61","332"
"406","202.5","81","500","222","9","500"
"407","317.75","105","500","107.6","15","391"
"408","156.75","18","386","106.6","53","246"
"409","241","93","500","228.4","58","500"
"410","68.75","23","138","273.25","36","500"
"411","73.75","57","90","162","9","500"
"412","113","62","155","415.2","76","500"
"413","303.6666666666667","85","500","252.6","62","500"
